item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel,optional-payment-type-exclusion,status,maximum-retail-price
Premium Oxidised Silver Elephant Stud Earrings Combo for Women & Girls - Pack of 4 Pairs | Multicolor Acrylic Stone German Silver Traditional Earring Set (Oxidized Daily Wear Jewellery),"Crafted with high-quality German silver with an antique tarnish-resistant finish, each pair features adorable detailed elephant motif on top holding a vibrant, smooth round acrylic gemstones. This value budget pack gives you four gorgeous color variants—peach, mint green, deep emerald green, and smoky amber brown—making it incredibly easy to coordinate with all your daily outfits. Lightweight and fitted with secure pushbacks, they are perfect for regular college, office, or casual wear. Oxidised earrings combo silver jhumka set trendy oxidised jewellery ethnic earrings for women German silver latkan earrings daily wear traditional earrings teardrop silver earrings silver ear rings silver earrings set combo silver earrings under 100 silver earrings silver earings jhumka silver earings combo silver earrings with mangtika silver earrings for women silver earing silver earrings for women earrings for women earing for women earrings kashmiri earrings earings for girls earings earrings for women traditional earrings for women traditional jhumki earrings combo oxidised earrings earrings for women jhumki big earrings for girls jhumki earrings small earrings for women long earrings for women jhumka earrings",0603HSTN4CC,ELEPHANT COMBO-1 (1),399,100,2026-06-03 22:00:31 IST,,y,1,,,11,,,,B0H3WKZDMK,,,,,,B0H3WKZDMK,,,0,DEFAULT,,Active,1299.0
Ethnic Lakshmi Ji Jhumka Earrings with Pearl Drops and Kan Chain for Women,"Adorn yourself with these stunning antique gold-plated Lakshmi Temple Jhumka earrings, featuring intricate deity designs, vibrant green and pink stones, and delicate pearl drops. Complete with an elegant ear chain, these traditional earrings are perfect for adding a touch of ethnic grandeur to weddings, festivals, and all your special celebrations. Jhumka Earrings Antique Gold Jhumka Temple Jewelry Earrings Lakshmi Design Jhumka Pearl Drop Earrings Traditional Indian Jhumka Ethnic Jhumka Earrings Wedding Jhumka Festival Jhumka Gold Plated Jhumka Kan Chain Earrings South Indian Earrings Women's Jhumka Party Wear Earrings Fashion Jhumka Statement Earrings Jhumke Lakshmi Jhumke Gold Jhumka Designer Jhumka",0113H4UTO60,JJ-FY57-LTRZ,349,113,2026-01-13 16:15:27 IST,,y,1,,,11,,,,B0GGHY5ZXC,,,,,,B0GGHY5ZXC,,,0,DEFAULT,,Active,1199.0
"Anitque Floral Motif Oxidised Silver Jhumka Earrings for Women & Girls Beads Alloy Jhumki Earring, Drops & Danglers","A perfect blend of traditional Indian craftsmanship and contemporary charm, these earrings feature a beautifully detailed blooming floral stud that gracefully transitions into a classic dome-shaped jhumka. Etched with intricate floral patterns and trimmed with a continuous row of delicate white pearl beads at the base, they offer exquisite antique finish. Lightweight and skin-friendly, these jhumkas are designed to add a graceful ethnic statement to your look without causing any discomfort. Oxidised earrings combo silver jhumka set trendy oxidised jewellery ethnic earrings for women German silver latkan earrings daily wear traditional earrings teardrop silver earrings silver ear rings silver earrings set combo silver earrings under 100 silver earrings silver earings jhumka silver earings combo silver earrings with mangtika silver earrings for women silver earing silver earrings for women earrings for women earing for women earrings kashmiri earrings earings for girls earings earrings for women traditional earrings for women traditional jhumki earrings combo oxidised earrings earrings for women jhumki big earrings for girls jhumki earrings small earrings for women long earrings for women jhumka earrings",0626HF41OZM,LOTUS JHUMKA-1 (1),299,100,2026-06-26 15:09:08 IST,,y,1,,,11,,,,B0H6Q7FLR6,,,,,,B0H6Q7FLR6,,,0,DEFAULT,,Active,1299.0
Traditional Floral & Peacock Design Oxidised Silver Jhumka Earrings for Women & Girls - 1 Pair | Ethnic German Silver Engraved Dome Jhumki with Pearl Hanging Drops (Oxidized Royal Jewellery),"A masterful tribute to classic Indian heritage, these earrings combine two of the most loved traditional motifs. The top features a finely detailed, textured floral stud, which hangs down into a beautifully sculpted dome jhumka engraved with a majestic peacock pattern. A delicate row of premium white pearl drops lines the bottom edge, creating a striking contrast against the antique silver finish. Perfectly weighted and skin-friendly, this pair is designed to give you a grand statement look. Oxidised earrings combo silver jhumka set trendy oxidised jewellery ethnic earrings for women German silver latkan earrings daily wear traditional earrings teardrop silver earrings silver ear rings silver earrings set combo silver earrings under 100 silver earrings silver earings jhumka silver earings combo silver earrings with mangtika silver earrings for women silver earing silver earrings for women earrings for women earing for women earrings kashmiri earrings earings for girls earings earrings for women traditional earrings for women traditional jhumki earrings combo oxidised earrings earrings for women jhumki big earrings for girls jhumki earrings small earrings for women long earrings for women jhumka earrings",0603HT7Y8D3,LOTUS JHUMKA-2 (1),399,100,2026-06-03 21:52:47 IST,,y,1,,,11,,,,B0H3W89HC4,,,,,,B0H3W89HC4,,,0,DEFAULT,,Active,1299.0
Unique Floral Stud Birdcage Design Oxidised Silver Jhumka Earrings for Women & Girls - 1 Pair | Ethnic German Silver Hollow Cage Jhumki with Tiny Pearl Drops (Oxidized Statement Jewellery),"Breaking away from traditional solid dome shapes, these earrings feature a highly creative, architectural hollow birdcage (pichwai/palace window style) structure that adds a gorgeous vintage depth to the design. The top boasts a sober blooming floral stud that drops down into the intricate cage frame, which is finished with a lively row of delicate white pearl beads at the base. Remarkably lightweight due to the hollow filigree framework, this pair offers a bold statement look without any heavy pull on your earlobes. Oxidised earrings combo silver jhumka set trendy oxidised jewellery ethnic earrings for women German silver latkan earrings daily wear traditional earrings teardrop silver earrings silver ear rings silver earrings set combo silver earrings under 100 silver earrings silver earings jhumka silver earings combo silver earrings with mangtika silver earrings for women silver earing silver earrings for women earrings for women earing for women earrings kashmiri earrings earings for girls earings earrings for women traditional earrings for women traditional jhumki earrings combo oxidised earrings earrings for women jhumki big earrings for girls jhumki earrings small earrings for women long earrings for women jhumka earrings",0603HSZKUSW,LOTUS JHUMKA-3 (1),399,98,2026-06-03 21:56:08 IST,,y,1,,,11,,,,B0H3WC586R,,,,,,B0H3WC586R,,,0,DEFAULT,,Active,1299.0
Afghani Bahubali Jhumka Earrings with Hair Chain,"Get ready to turn heads with these breathtaking Oxidized Silver Jhumka Earrings with an Attached Kaan Chain (Sahara). This unique piece combines traditional Indian craftsmanship with a trendy Bohemian/Afghani aesthetic, making it an absolute must-have for your jewelry collection.",0415HAOR3IZ,NJ-2,245,492,2026-04-16 05:09:45 IST,,y,1,,,11,,,,B0G4W7CC63,,,,,,B0G4W7CC63,,,0,DEFAULT,,Active,1099.0
Ethnic Antique Gold Plated Pearl & Ruby Green Stone Jhumka Earrings for Women - Traditional Jhumki,"Embrace timeless elegance with these exquisite antique gold-plated jhumka earrings, perfect for festive and traditional occasions. Adorned with delicate pearls and vibrant ruby-green stones, their intricate design adds a touch of classic charm to any ethnic ensemble. These traditional jhumkis are a must-have for weddings, festivals, and special events, complementing your ethnic attire beautifully. Jhumka earrings Jhumki Traditional earrings Antique gold plated Pearl earrings Ruby green stone earrings Ethnic jewelry Festive wear earrings Wedding earrings Party wear jhumka Indian jhumka Women's fashion earrings Temple jewelry earrings Golden jhumka Moti jhumke Latest jhumka design Traditional Jhumki Bollywood earrings",0218HAW03ZT,OG DJ-1 Small,349,100,2026-02-18 16:26:16 IST,,y,1,,,11,,,,B0GNZW551G,,,,,,B0GNZW551G,,,0,DEFAULT,,Active,1099.0
Exquisite Antique Gold Plated Ruby & Pearl Jhumka Earrings | Traditional Indian Bell Design for Women,"Elevate your ethnic look with these stunning antique gold-plated jhumka earrings, meticulously crafted with a classic bell silhouette. Featuring a captivating ruby-like stone and delicate white pearls, these traditional earrings are perfect for weddings, festivals, and special occasions, adding a touch of timeless Indian elegance. Antique Gold Jhumka Earrings Pearl Jhumka Ruby Stone Earrings Traditional Indian Jhumka Ethnic Earrings Wedding Jhumkas Festive Jewelry Gold Plated Earrings Women's Fashion Earrings Temple Jewelry Bollywood Style Jhumka Party Wear Earrings Designer Jhumka Traditional Jhumki Antique Jhumka Indian Jewellery Bell Earrings Red Stone Jhumka Pearl Drop Earrings",0218HAWBK2D,OG DJ-7,379,200,2026-02-18 17:06:17 IST,,y,1,,,11,,,,B0GP12D4KP,,,,,,B0GP12D4KP,,,0,DEFAULT,,Active,1599.0
Traditional Antique Gold Plated Lakshmi Jhumka Earrings with Green & Red Stones and Pearl Drops for Women,"Adorn yourself with these exquisite traditional antique gold-plated Lakshmi Jhumka earrings. Featuring intricate craftsmanship, vibrant green and red stones, and delicate pearl drops, they add a touch of timeless elegance to any ethnic ensemble. Perfect for festive celebrations, weddings, or traditional gatherings, these jhumkas are designed to make you stand out. Jhumka Earrings Antique Jhumka Traditional Earrings Gold Plated Jhumka Ethnic Earrings Festive Earrings Wedding Jhumka Pearl Drop Earrings Oxidized Jhumka Lakshmi Design Earrings Green Red Stone Earrings Women Fashion Earrings Indian Traditional Jewelry Party Wear Jhumka Bridal Jhumka Jhumke Temple Jewelry Earrings Mehendi Sangeet Earrings Traditional Indian Jhumka",0116HGRN8E4,OGDJ11,289,147,2026-01-16 19:13:38 IST,,y,1,,,11,,,,B0GH8J3NLN,,,,,,B0GH8J3NLN,,,0,DEFAULT,,Active,999.0
Traditional Gold Plated Pink Green Stone Dangler Kashmiri Earrings for Women,"Adorn yourself with these exquisite traditional gold-plated kashmiri earrings, featuring stunning pink and green teardrop stones and intricate filigree work. The elegant design, complemented by delicate bead detailing, makes them a perfect accessory for festive occasions, weddings, and ethnic gatherings. Lightweight and stylish, these earrings add a touch of timeless charm to any traditional outfit. gold plated earrings traditional earrings dangler earrings ethnic earrings festive wear earrings wedding earrings party wear earrings pink green stone earrings jhumka earrings chandbali earrings chandelier earrings imitation jewelry women's fashion earrings latest design earrings bridal earrings long earrings ghungroo earrings antique finish earrings sone ke jhumke traditional jhumke",0116HGJKU6Y,OGDJ12PINK,550,95,2026-01-16 19:48:19 IST,,y,1,,,11,,,,B0GH8QJZMC,,,,,,B0GH8QJZMC,,,0,DEFAULT,,Active,1699.0
Traditional Gold Plated Pink Green Stone DanglerKashmiri Earrings for Women,"Adorn yourself with these exquisite traditional gold-plated Kashmiri earrings, featuring stunning pink and green teardrop stones and intricate filigree work. The elegant design, complemented by delicate bead detailing, makes them a perfect accessory for festive occasions, weddings, and ethnic gatherings. Lightweight and stylish, these earrings add a touch of timeless charm to any traditional outfit. gold plated earrings traditional earrings dangler earrings ethnic earrings festive wear earrings wedding earrings party wear earrings pink green stone earrings jhumka earrings chandbali earrings chandelier earrings imitation jewelry women's fashion earrings latest design earrings bridal earrings long earrings ghungroo earrings antique finish earrings sone ke jhumke traditional jhumke",0116HGU3PJH,OGDJ13GREEN,550,100,2026-01-16 19:55:28 IST,,y,1,,,11,,,,B0GH8LRL6N,,,,,,B0GH8LRL6N,,,0,DEFAULT,,Active,1599.0
Trendy Oxidised Silver Earrings Combo for Women & Girls - Set of 2 Pairs | Ethnic German Silver Chandbali & Teardrop Hanging Earrings with Pearl Drops (Oxidized Jewellery Set),"Crafted with high-quality German silver and finished with a premium antique look, these earrings feature intricate tribal work and delicate pearl drops. Whether you want to ace your daily college look, stand out at office party, or add a traditional touch to festival outfits, this combo pack is your perfect go-to accessory. Oxidised earrings combo silver jhumka set trendy oxidised jewellery ethnic earrings for women German silver latkan earrings daily wear traditional earrings teardrop silver earrings silver ear rings silver earrings set combo silver earrings under 100 silver earrings silver earings jhumka silver earings combo silver earrings with mangtika silver earrings for women silver earing silver earrings for women earrings for women earing for women earrings kashmiri earrings earings for girls earings earrings for women traditional earrings for women traditional jhumki earrings combo oxidised earrings earrings for women jhumki big earrings for girls jhumki earrings small earrings for women long earrings for women jhumka earrings",0603HSYYRK8,OXIDIZED COMBO-1 (1),399,100,2026-06-03 21:20:58 IST,,y,1,,,11,,,,B0H3WD74W1,,,,,,B0H3WD74W1,,,0,DEFAULT,,Active,1299.0
Trendy Black Enamel Oxidised Silver Earrings Combo for Women & Girls - Set of 2 Pairs | Ethnic German Silver Geometric Studs with Swan & Flower Motifs and Ghungroo Drops (Oxidized Jewellery Set)," ""Crafted with premium-quality German silver and featuring a striking black enamel finish, this set offers two unique artistic designs. One pair features swan motif, while the other features a classic floral pattern, both finished with a traditional fringe of silver ghungroo beads. Designed to be lightweight and comfortable, this combo is perfect for making a stylish statement without weighing your ears down. Oxidised earrings combo silver jhumka set trendy oxidised jewellery ethnic earrings for women German silver latkan earrings daily wear traditional earrings teardrop silver earrings silver ear rings silver earrings set combo silver earrings under 100 silver earrings silver earings jhumka silver earings combo silver earrings with mangtika silver earrings for women silver earing silver earrings for women earrings for women earing for women earrings kashmiri earrings earings for girls earings earrings for women traditional earrings for women traditional jhumki earrings combo oxidised earrings earrings for women jhumki big earrings for girls jhumki earrings small earrings for women long earrings for women jhumka earrings""",0603HSYT929,OXIDIZED COMBO-2 (1),399,100,2026-06-03 21:37:51 IST,,y,1,,,11,,,,B0H3WGMXFX,,,,,,B0H3WGMXFX,,,0,DEFAULT,,Active,1299.0
Silver Oxidized Floral & Teardrop Earring Combo with Pearl Droplets,"Elevate your everyday and festive style with this stunning combo of two pairs of silver oxidized earrings. Crafted with intricate details, this set features one pair of elegant teardrop-shaped dangle earrings and another pair of classic round hoop jhumkis adorned with beautiful floral motifs. Both pairs are intricately detailed with delicate white pearl droplets that add a touch of traditional charm and graceful movement. Made from high-quality alloy with a vintage antique finish, these lightweight earrings offer a comfortable fit for all-day wear. Whether you are dressing up for a festive occasion, a family gathering, or adding a touch of ethnic flair to your casual college or office wear, this versatile combo is the perfect accessory choice to complement your kurtis, sarees, and fusion outfits. jhumka for women earrings with chain earrings jhumka heavy jhumka gold earrings for women chain earrings kan kempu jhumka earrings jhumka with side chain gold jhumki bahubali jhumka for women jhumka for girls earrings for women traditional Oxidized Earrings Combo Silver Jhumka Set Floral Hoop Earrings Teardrop Dangle Earrings Pearl Drop Earrings Ethnic Jewelry for Women Traditional Festive Earrings Antique Silver Earrings German Silver Jewelry Daily Wear Ethnic Earrings",0629HPPDJLB,OXIDIZED COMBO-3 (1),399,100,2026-06-29 19:11:25 IST,,y,1,,,11,,,,B0H6XYDLGN,,,,,,B0H6XYDLGN,,,0,DEFAULT,,Active,1299.0
Silver Oxidized Elephant & Colorful Stone Studded Earring Combo (Pack of 3 Pairs),"Refresh your jewelry collection with this exquisite combo of three pairs of silver oxidized earrings, blending traditional motifs with a vibrant touch of color. This curated multi-pack features three distinct, eye-catching designs: one pair of unique elephant-crafted studs with rich amber-yellow round stones, one pair of classic ethnic drops set with deep emerald-green stones and pearl hangings, and a delicate teardrop pair featuring soft pastel-pink stones with dangling white pearls. Crafted from high-quality alloy with an antique silver finish, these lightweight earrings ensure maximum rexalation for extended wear. Perfect for mixing and matching, this versatile set effortlessly elevates your everyday kurtis, festive sarees, and fusion outfits for office wear, casual outings, or special celebrations. jhumka for women earrings with chain earrings jhumka heavy jhumka gold earrings for women chain earrings kan kempu jhumka earrings jhumka with side chain gold jhumki bahubali jhumka for women jhumka for girls earrings for women traditional Oxidized Earrings Combo Silver Jhumka Set Floral Hoop Earrings Teardrop Dangle Earrings Pearl Drop Earrings Ethnic Jewelry for Women Traditional Festive Earrings Antique Silver Earrings German Silver Jewelry Daily Wear Ethnic Earrings",0629HPQG7N3,SC-1 (1),399,100,2026-06-29 19:24:38 IST,,y,1,,,11,,,,B0H6Y1STK7,,,,,,B0H6Y1STK7,,,0,DEFAULT,,Active,1299.0
Silver Oxidized Elephant & Pastel Stone Studded Earring Combo (Pack of 3 Pairs),"Enhance your daily and festive wardrobes with this beautiful combo of three pairs of silver oxidized earrings, beautifully combining traditional animal motifs with charming pastel tones. This curated multi-pack features three unique designs: one pair of distinctive elephant-crafted studs featuring smooth, mint-green round stones, alongside two pairs of classic ethnic drops adorned with delicate white pearl hangings—one set with sky-blue stones and the other with soft baby-pink stones. Crafted from premium alloy with an antique silver finish, these earrings are exceptionally lightweight and designed for comfortable all-day wear. This versatile set is perfect for mixing and matching with your favorite kurtis, sarees, or fusion wear for office, college, festive occasions, and casual outings. jhumka for women earrings with chain earrings jhumka heavy jhumka gold earrings for women chain earrings kan kempu jhumka earrings jhumka with side chain gold jhumki bahubali jhumka for women jhumka for girls earrings for women traditional Oxidized Earrings Combo Silver Jhumka Set Floral Hoop Earrings Teardrop Dangle Earrings Pearl Drop Earrings Ethnic Jewelry for Women Traditional Festive Earrings Antique Silver Earrings German Silver Jewelry Daily Wear Ethnic Earrings",0629HPJEASR,SC-4 (1),1299,100,2026-06-29 19:27:28 IST,,y,1,,,11,,,,B0H6XV1J3Q,,,,,,B0H6XV1J3Q,,,0,DEFAULT,,Active,1299.0
Silver Oxidized Colorful Stone Studded Ghungroo Earring Combo (Pack of 4 Pairs),"Add a vibrant pop of color to your ethnic collection with this stunning combo of four pairs of silver oxidized earrings. Featuring an exquisite blend of traditional craftsmanship and contemporary style, each pair in this set is uniquely designed with premium stone work in beautiful shades of turquoise blue, elegant white, soft peach, and mint green. Adorned with delicate, dangling ghungroo clusters at the base, these earrings offer a graceful, jingle-accented look with every movement. Made from high-quality alloy with antique silver finish, they are lightweight and comfortable enough for all-day wear. This highly versatile multi-pack is the perfect accessory choice to pair with kurtis, sarees, anarkalis, or fusion outfits for festivals, casual outings, office wear, and special family gatherings. jhumka for women earrings with chain earrings jhumka heavy jhumka gold earrings for women chain earrings kan kempu jhumka earrings jhumka with side chain gold jhumki bahubali jhumka for women jhumka for girls earrings for women traditional Oxidized Earrings Combo Silver Jhumka Set Floral Hoop Earrings Teardrop Dangle Earrings Pearl Drop Earrings Ethnic Jewelry for Women Traditional Festive Earrings Antique Silver Earrings German Silver Jewelry Daily Wear Ethnic Earrings",0629HPDT0LA,SC-6 (1),399,100,2026-06-29 19:21:18 IST,,y,1,,,11,,,,B0H6XMYLKP,,,,,,B0H6XMYLKP,,,0,DEFAULT,,Active,1299.0
